Rank Only,Rank Change,Name,Assoc,Points
168,↓5,Ece HARAC,TUR,83
169,↓5,Reeth TENNISON,IND,82
170,↑17,Izabela LUPULESKU,SRB,80
171,↓6,WU Yangchen,CHN,75
172,↑100,Katsiaryna BARAVOK,BLR,75
173,↓7,Ankita DAS,IND,74
174,↓7,Leila IMRE,HUN,74
175,↓7,Franziska SCHREINER,GER,74
176,↓7,Isa COK,FRA,73
177,↓7,Prapti SEN,IND,71
178,↑104,Natalia BAJOR,POL,71
179,↑104,Camille LUTZ,FRA,71
180,↓9,Kaushani NATH,IND,70
181,↓9,Suhana SAINI,IND,66
182,↓9,Yashaswini Deepak GHORPADE,IND,65
183,↓9,Jinnipa SAWETTABUT,THA,65
184,↓9,Tamolwan KHETKHUAN,THA,65
185,↓9,Jennifer JONSSON,SWE,64
186,↓9,KIM Nayeong,KOR,63
187,↓9,RYU Hanna,KOR,63
188,↑53,Vivien SCHOLZ,GER,61
189,↓10,Liubov TENTSER,RUS,60
190,↓10,Arina SLAUTINA,RUS,60
191,↓10,Amy WANG,USA,55
192,↓10,Rozalina KHADJIEVA,UZB,55
193,↓10,ZHOU Jingyi,SGP,55
194,↓10,Daniela MONTEIRO DODEAN,ROU,54
195,↓10,Nicole ARLIA,ITA,54
196,↓10,Matilde PINTO,POR,50
197,↑79,Valentina RONCALLO,ITA,49
198,↓10,Sabina SURJAN,SRB,48
199,↓10,Markhabo MAGDIEVA,UZB,47
200,↓10,Beria Francelle GAMAGO,CGO,45
201,↓10,Siti AMINAH,INA,45
202,↓10,Novida WIDARAHMAN,INA,45
203,↓10,Fathimath Dheema ALI,MDV,45
204,↓10,Wirakarn TAYAPITAK,THA,45
205,↓10,Phantita PINYOPISAN,THA,45
206,↓10,Aishath NAZIM,MDV,45
207,↓10,Glory Akeel PAMELA ,KEN,45
208,↓10,Bukola AJAYI,NGR,45
209,↓10,Thomie MOSSEMBA,CGO,45
210,↓10,Doreen JUMA,KEN,45
211,↓10,Rita NAKHUMITSA,UGA,45
212,↓10,Abosede ODUSANYA,NGR,45
213,↓10,Nasimuyu Wele LISA ,KEN,45
214,↓10,Lydia SETEY,KEN,45
215,↓10,Florence SEERA,UGA,45
216,↓10,Lea HOUNGUE,CIV,45
217,↓10,Khanyisile MADLALA,RSA,45
218,↓10,Saurelle GUIMFACK,CMR,45
219,↓10,Essevoh Mireille LEBA,CIV,45
220,↓10,Zodwa MAPHANGA,RSA,45
221,↓10,BOBGA BOGHUMA KAHLIH,CMR,45
222,↓10,Maria MALDONADO,PER,45
223,↓10,Sharon DIAZ,CRC,45
224,↓10,Nicole GRANADOS,CRC,45
225,↓10,Isabel DUFFOO,PER,45
226,↓10,Swastika GHOSH,IND,44
227,↓10,Diya Parag CHITALE,IND,42
228,↓10,Bianca MEI ROSU,ROU,40
229,↓10,Luciana MITROFAN,ROU,40
230,↑96,Amelie SOLJA,AUT,40
231,↑96,Jeanne ROBBES,FRA,40
232,↓12,Matilda HANSSON,SWE,38
233,↓12,Zauresh AKASHEVA,KAZ,37
234,↓12,Sarvinoz MIRKADIROVA,KAZ,37
235,↓12,Charlotte CAREY,WAL,35
236,↓12,Mekhriniso NORKULOVA,UZB,35
237,↓12,Kristal MELENDEZ LAFONTAINE,PUR,35
238,↓12,Kamila KHALIKOVA,UZB,35
239,↓12,Nathaly PAREDES,ECU,35
240,↓12,Fabiola DIAZ,PUR,35
241,↓12,Mylena PLAZA,ECU,35
242,↓12,Naomi PRANJKOVIC,GER,35
243,↓12,Oceane GUISNEL,FRA,34
244,↓12,Annett KAUFMANN,GER,34
245,↑115,Darya KISEL,BLR,32
246,↓13,Nusa KADIS,SLO,31
247,↑40,Arianna BARANI,ITA,30
248,,LI Xin,USA,30
249,,Ying WANG ,USA,30
250,↑312,Krittwika ROY,IND,30
251,↓17,Dora COSIC ,CRO,30
252,↓17,Malamatenia PAPADIMITRIOU,GRE,30
253,↓17,Ida JAZBEC,CRO,29
254,↓17,Sara TOKIC,SLO,29
255,↓16,Gaia MONFARDINI,ITA,29
256,↓16,Xiaoxin YANG,MON,29
257,↓15,Leonie HARTBRICH,HUN,28
258,↓15,CAI Fong-En,TPE,25
259,↓15,Haruna OJIO,JPN,25
260,↓15,HSU Yi-Chen,TPE,25
261,↓15,Sophia KLEE,GER,25
262,↓15,Adriana ILLASOVA,SVK,25
263,↓15,Anastassiya LAVROVA,KAZ,24
264,↓15,Anel BAKHYT,KAZ,24
265,↓15,Maria TSAPTSINOS,ENG,22
266,↓15,Polona HORVAT,SLO,21
267,↓15,Tamara TOMANOVA,CZE,20
268,↓15,Alsu SAPAROVA,KAZ,20
269,↓15,Maria CABRERA,ECU,20
270,↓15,Eunice GALVEZ,ECU,20
271,↓15,Alexandra SMIRNOVA,KAZ,20
272,↓15,Angelina ROMANOVSKAYA,KAZ,20
273,↓15,Daria SHADRINA,RUS,20
274,↓15,Aiya ALIMBAYEVA,KAZ,20
275,↓15,Ekaterina OKHOTNIKOVA,RUS,20
276,↓15,Kristyna MIKULCOVA,CZE,20
277,↓15,Giulia TAKAHASHI,BRA,20
278,↓15,Laura WATANABE,BRA,20
279,↓15,Veronika MATIUNINA,UKR,20
280,↓15,Sophie EARLEY,IRL,20
281,↓15,Agathe Anne AVEZOU,FRA,20
282,↓15,Clea DE STOPPELEIRE,FRA,20
283,↓15,Dorottya TOLGYES,HUN,20
284,↓15,Anastasiya DYMYTRENKO,UKR,20
285,↓15,Anastasia BONDAREVA,GER,20
286,↓15,Bruna TAKAHASHI,BRA,20
287,↓14,Andrea TODOROVIC,SRB,20
288,↓14,Enya MOLTARA,SLO,19
289,↓14,Tjasa NOVAK,SLO,19
290,↓13,Lara OPEKA,SLO,19
291,↓13,Klara HRABICOVA,CZE,19
292,↓13,ZHANG Wanling,SGP,17
293,↓13,KOH Kai Xin Pearlyn,SGP,17
294,↓13,Sofia-Xuan ZHANG,ESP,17
295,↓11,Hend FATHY,EGY,15
296,↓11,Parleen KAUR,AUS,15
297,↓11,Karolina MYNAROVA,CZE,15
298,↓10,Maram ZOGHLAMI,TUN,14
299,↓10,Natalia PARTYKA,POL,14
300,↓10,Madhurika PATKAR,IND,14
301,↓10,Sibel ALTINKAYA,TUR,13
302,↓8,Jamila LAURENTI,ITA,13
303,↓8,Lily ZHANG,USA,12
304,↓12,Gabriela STEPANOVA,CZE,12
305,↓12,Patricia SANTOS,POR,12
306,↓10,Yue WU,USA,10
307,↓10,Galia DVORAK,ESP,10
308,↓10,Joyce XU,CAN,10
309,↓10,Leila OLIVEIRA,POR,10
310,↓10,Aleksandra VOVK,SLO,10
311,↓10,Alissa TSVIGUN,KAZ,10
312,↓10,Malika SANDYBAYEVA,KAZ,10
313,↓10,Zhanerke KOSHKUMBAYEVA,KAZ,10
314,↓10,Nazgul SULAIMANOVA,KGZ,10
315,↓10,Aray ASHKEYEVA,KAZ,10
316,↓10,Sugdiyona MADALIEVA,UZB,10
317,↓10,Altynai OMURALIEVA,KGZ,10
318,↓10,Renata LACENOVA,SVK,10
319,↓10,Yishiuan LIN,USA,10
320,↓10,Daniela FONSECA CARRAZANA,CUB,10
321,↓10,Karla PEREZ GONZALEZ,CUB,10
322,↓10,Josephina NEUMANN,GER,10
323,↓10,Eireen Elena KALAITZIDOU,GER,10
324,↓10,Jele STORTZ,GER,10
325,↓10,Eugenia SASTRE,ESP,10
326,↓10,Ainhoa CRISTOBAL,ESP,10
327,↓10,Taneesha Sanjaykumar KOTECHA,IND,10
328,↓10,Andrea TEGLAS,ROU,10
329,↓10,Evelyn UNGVARI,ROU,10
330,↓10,HUANG Yu-Jie,TPE,10
331,↓10,Nithya MANI,IND,10
332,↓10,Marla VIDAKOVIC,CRO,10
333,↓10,Anna BRZYSKA,POL,10
334,↓10,Ilona SZTWIERTNIA,POL,10
335,↓10,Dina MESHREF,EGY,10
336,↓8,Charlotte BARDSLEY,ENG,10
337,↓8,Lucie MOBAREK,FRA,10
338,↓8,SER Lin Qian,SGP,10
339,↓8,Natalia GRIGELOVA,SVK,10
340,↓8,Nomin BAASAN,SWE,10
341,↓8,Maha FARAMARZI,QAT,9
342,↓8,Maryam ALI,QAT,9
343,↓8,Maha ALI,QAT,9
344,↓8,Ala MOHAMED,QAT,9
345,↓8,Adina DIACONU,ROU,8
346,↓8,Neda SHAHSAVARI,IRI,6
347,↓8,Shima SAFAEI,IRI,6
348,↓8,Mahshid ASHTARI,IRI,6
349,↓8,Tania PLAIAN,ROU,6
350,↓8,Helga DARI,HUN,6
351,↓8,Valentina RIOS,CHI,5
352,↓8,Nikita PETROVOVA,CZE,5
353,↓8,Petra PETEK,CRO,5
354,↓8,Cristina GOMEZ OLIVERA,VEN,5
355,↓8,Cristina MACHADO,ESA,5
356,↓8,Macarena MONTECINO,CHI,5
357,↓8,Gabriela SUAREZ,ESA,5
358,↓8,Camila OBANDO,VEN,5
359,↓8,HE Zhuojia,CHN,5
360,↓8,Maryam FAREI,IRI,5
361,↓8,SHI Xunyao,CHN,4
362,↓8,CHEN Yi,CHN,4
363,↓8,Anna FEJOS,HUN,4
364,↓8,Emily BOLTON,ENG,2
365,,Stuti KASHYAP,USA,2
366,,Kayla GOODWIN,USA,2
367,,Linda SHU,USA,2
368,,Angela GUAN,USA,2
369,,Yue LI ,USA,2
370,,Yixiao WANG,USA,2
371,,Rui Ni LI ,USA,2
372,↓15,Roa AMRO,EGY,2
373,↓15,Alaa YEHIA,EGY,2
374,↓15,Tessy GONDERINGER,LUX,2
375,↓14,LEE Daeun,KOR,1
376,↓14,CHOI Haeeun,KOR,1
377,↓14,Simay KULAKCEKEN,TUR,1
378,↓14,Maryam SAMET,IRI,1
