Rank Only,Rank Change,Name,Assoc,Points
129,↓5,Mateja JEGER / Filip ZELJKO,CRO,45
130,↓5,Robert GARDOS / Elizabeta SAMARA,AUT / ROU,45
131,↓5,Marcelo AGUIRRE / Leyla GOMEZ,PAR,45
132,↓5,Edward LY / Ching Nam FU,CAN,45
133,↓5,Sharon ALGUETTI / Sarah JALLI,USA,45
134,↓5,Julian RAMOS / Manuela ECHEVERRY,COL,45
135,↓5,Isabel DUFFOO / Felipe DUFFOO,PER,45
136,↓5,Marcos MADRID / Yadira SILVA,MEX,40
137,↓5,Mariia TAILAKOVA / Vladimir SIDORENKO,RUS,39
138,↓5,Rares SIPOS / Andreea DRAGOMAN,ROU,37
139,↓5,Elmurod KHOLIKOV / Kamila KHALIKOVA,UZB,35
140,↓5,Ankita DAS / Manush Utpalbhai SHAH,IND,35
141,↓5,Erik RAITER / Aray ASHKEYEVA,KAZ,35
142,↓5,Linda BERGSTROM / Truls MOREGARD,SWE,35
143,↓5,Tessy GONDERINGER / Eric GLOD,LUX,35
144,↓5,Rafael TURRINI / Giulia TAKAHASHI,BRA,35
145,↓5,Yuan WAN / Cedric MEISSNER,GER,35
146,↓5,Vivien SCHOLZ / Benno OEHME,GER,35
147,↓5,Snehit SURAVAJJULA / Selena SELVAKUMAR,IND,34
148,↓5,Minhyung JEE / Nicholas LUM,AUS,34
149,↓5,Yousra HELMY / Mahmoud HELMY,EGY,32
150,↓5,Zauresh AKASHEVA / Irisbek ARTUKMETOV,KAZ,30
151,↓5,Alexis LEBRUN / Charlotte LUTZ,FRA,30
152,,Leili MOSTAFAVI / Vincent PICARD,FRA,30
153,↓6,Sharath Kamal ACHANTA / Manika BATRA,IND,27
154,↓6,Mihai BOBOCICA / Debora VIVARELLI,ITA,25
155,↓6,Samuel KULCZYCKI / Prithika PAVADE,POL / FRA,25
156,↓6,ZENG Beixun / WU Yangchen,CHN,25
157,↓6,Nathaly PAREDES / Emiliano RIOFRIO,ECU,20
158,↓6,Eunice GALVEZ / Diego PIGUAVE,ECU,20
159,↓6,Fabiola DIAZ / Derek Yadiel VALENTIN-MARENGO,PUR,20
160,↓6,Rodrigo TAPIA / Mylena PLAZA,ECU,20
161,↓6,Vladislav ZAKHAROV / Alexandra SMIRNOVA,KAZ,20
162,↓6,Aidos KENZHIGULOV / Anel BAKHYT,KAZ,20
163,↓6,Angelina ROMANOVSKAYA / Temirlan KIM ,KAZ,20
164,↓6,Tomas MARTINKO / Zdena BLASKOVA,CZE,20
165,↓6,Bastien REMBERT / Isa COK,FRA,20
166,↓6,Samuel WALKER / Tin-Tin HO,ENG,20
167,↓5,Sathiyan GNANASEKARAN / Sutirtha MUKHERJEE,IND,19
168,↓5,Elena ZAHARIA / Darius MOVILEANU,ROU,17
169,↓5,Kay STUMPER / Sophia KLEE,GER,15
170,↓5,Amy WANG / Terence YEUNG,USA / CAN,15
171,↓5,Vladimir SIDORENKO / Elizabet ABRAAMIAN,RUS,15
172,↓5,Nikoleta PUCHOVANOVA / Jakub ZELINKA,SVK,15
173,↓5,Hana MATELOVA / Tomas POLANSKY,CZE,14
174,↓5,Melissa TAPPER / Heming HU,AUS,10
175,↓5,Amy WANG / Nikhil KUMAR,USA,10
176,↓5,Jeremy HAZIN / Joyce XU,CAN,10
177,↓5,Sami KHEROUF / Katia KESSACI,ALG,10
178,↓5,Yadier LOPEZ VELEZ / Kristal MELENDEZ LAFONTAINE,PUR,10
179,↓5,Maria CABRERA / Jeremy CEDENO,ECU,10
180,↓5,Angelica ARELLANO / Paul Ignacio PONCE CEDENO,ECU,10
181,↓5,Iskender KHARKI / Alissa TSVIGUN,KAZ,10
182,↓5,Nazgul SULAIMANOVA / Adilet NASIRDINOV,KGZ,10
183,↓5,Semen SHEVNIN / Mariia STEPANOVA,RUS,10
184,↓5,Dastan KENZHIGULOV / Alsu SAPAROVA,KAZ,10
185,↓5,Denis ZHOLUDEV / Aiya ALIMBAYEVA,KAZ,10
186,↓5,Bakdaulet AKIMALI / Zhanerke KOSHKUMBAYEVA,KAZ,10
187,↓5,Jeet CHANDRA / Selena SELVAKUMAR,IND,10
188,↓5,Samuel NOVOTA / Simona HORVATHOVA,SVK,10
189,↓5,Samuel KALUZNY / Ema LABOSOVA,SVK,10
190,↓5,Pavel PLATONOV / Katsiaryna BARAVOK,BLR,10
191,↓5,Bernadett BALINT / Akos KISHEGYI,HUN,10
192,↓5,Katerina TOMANOVSKA / Jiri MARTINKO,CZE,10
193,↓5,Tibor SPANIK / Natalia GRIGELOVA,SVK,10
194,↓5,Jorge CAMPOS / Daniela FONSECA CARRAZANA,CUB,10
195,↓5,Irvin BERTRAND / Leili MOSTAFAVI,FRA,10
196,↓5,Eday GOMEZ ROJAS / Daniela FONSECA CARRAZANA,CUB,10
197,↓5,Jeremy HAZIN / Sophie GAUTHIER,CAN,10
198,↓5,Katsiaryna BARAVOK / CHEW Zhe Yu Clarence,BLR / SGP,10
199,↓5,Daria TRIGOLOS / Andre Pierre KASES,BLR / AUT,10
200,↓5,Charlotte CAREY / Callum EVANS,WAL,10
201,↓5,Sarun YINGYUENYONG / Tatiana KUKULKOVA,THA / SVK,10
202,↓5,Peter HRIBAR / Aleksandra VOVK,SLO,10
203,↓5,Leonardo MUTTI / Nicole ARLIA,ITA,10
204,,Tiffany KE / SI Zhigao,USA / CHN,10
205,,Ying WANG / Tianrui ZHANG,USA,10
206,,Yixiao WANG / WANG Jihai,USA,10
207,↓8,LEE Ho Ching / Dang QIU,HKG / GER,10
208,,Harmeet DESAI / Sreeja AKULA,IND,10
209,↓9,Matteo MUTTI / Sabina SURJAN,ITA / SRB,5
210,↓9,Lucie GAUTHIER / Lilian BARDET,FRA,5
211,↓9,Lev KATSMAN / Elizabet ABRAAMIAN,RUS,5
212,↓9,Lucia CORDERO / Kevin RUANO,GUA,5
213,↓9,Jayden ZHOU / Sarah JALLI,USA,5
214,↓9,Angel NARANJO / Fabiola DIAZ,PUR,5
215,↓9,Gabriela SUAREZ / Diego ORANTES,ESA,5
216,↓9,Anastassiya LAVROVA / Alan KURMANGALIYEV,KAZ,5
217,↓9,Yana NOSKOVA / Maksim GREBNEV,RUS,4
218,↓9,WONG Xin Ru / CHUA Josh Shao Han,SGP,4
219,↓9,Bernadette SZOCS / Cristian CHIRITA,ROU,4
220,↓9,Tilen CVETKO / Lea PAULIN,SLO,4
221,↓9,Barbora BALAZOVA / Yang WANG,SVK,4
222,↓9,Bernadett BALINT / Patrik JUHASZ,HUN,4
223,↓9,Jiri MARTINKO / Zdena BLASKOVA,CZE,4
224,↓9,Sabine WINTER / Tobias HIPPLER,GER,4
225,↓9,Katerina TOMANOVSKA / Tomas POLANSKY,CZE,4
226,↓9,Amalraj ANTHONY / Madhurika PATKAR,IND,4
227,↓9,Harmeet DESAI / Diya Parag CHITALE,IND,4
228,↓9,Suhana SAINI / Payas JAIN,IND,4
229,↓9,AN Jaehyun / CHOI Hyojoo,KOR,4
230,,Ye TIAN / LI Xin,USA,4
231,,Linda SHU / Joshua MAK,USA,4
232,,Aditya GODHWANI / Kayla GOODWIN,USA,4
233,↓12,Peter HRIBAR / Ana TOFANT,SLO,4
234,↓12,Tijana JOKIC / Dimitrije LEVAJAC,SRB,4
235,↓12,Siti AMINAH / Syahrizal Nauval Akbar MAMONTO,INA,2
236,↓12,John OYEBODE / Arianna BARANI,ITA,2
237,↓12,Amelie SOLJA / Tarek AL-SAMHOURY,AUT,2
238,↓12,Maksim GREBNEV / Elizabet ABRAAMIAN,RUS,2
239,↓12,Leili MOSTAFAVI / Felix LEBRUN,FRA,2
240,↓12,Camille LUTZ / Alexis LEBRUN,FRA,2
241,↓12,John OYEBODE / Rebecca MUSKANTOR,ITA / SWE,2
242,↓12,Maksim GREBNEV / Natalia MALININA,RUS,2
243,↓12,Ioana SINGEORZAN / Eduard IONESCU,ROU,2
244,↓12,Carlos FERNANDEZ / Anastasiya DYMYTRENKO,PER / UKR,2
245,↓12,Tiago LI / Patricia SANTOS,POR,2
246,↓12,Borgar HAUG / Naomi PRANJKOVIC,NOR / GER,2
247,↓12,Sarvinoz MIRKADIROVA / Alan KURMANGALIYEV,KAZ,2
248,↓12,Finn LUU / Yangzi LIU,AUS,2
249,↓12,Camille LUTZ / Esteban DORR,FRA,2
250,↓12,HUANG Yi-Hua / HUANG Yan-Cheng,TPE,2
251,,Alexander CHEN / Angela GUAN,AUT / USA,2
252,,Jishan LIANG / Joanna SUNG,USA,2
253,,Kai ZHANG / Yue LI ,USA,2
254,↓15,Ivor BAN / Hana ARAPOVIC,CRO,2
255,,Leo DE NODREST / Camille LUTZ,FRA,2
256,,Rui Ni LI / Dianren WEI ,USA,1
